study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy	sample_title
PRJNA292382	SAMN03979784	SRS1029570	SRX1140365	SRR2153293	10090	Mus musculus	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/003/SRR2153293/SRR2153293.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/003/SRR2153293/SRR2153293.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR215/003/SRR2153293	ftp.sra.ebi.ac.uk/vol1/srr/SRR215/003/SRR2153293			1065 soy muscle
PRJNA292382	SAMN03979785	SRS1029568	SRX1140366	SRR2153294	10090	Mus musculus	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/004/SRR2153294/SRR2153294.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/004/SRR2153294/SRR2153294.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR215/004/SRR2153294	ftp.sra.ebi.ac.uk/vol1/srr/SRR215/004/SRR2153294			1065 soy liver
PRJNA292382	SAMN03979786	SRS1029569	SRX1140367	SRR2153295	10090	Mus musculus	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/005/SRR2153295/SRR2153295.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/005/SRR2153295/SRR2153295.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR215/005/SRR2153295	ftp.sra.ebi.ac.uk/vol1/srr/SRR215/005/SRR2153295			1100 lard muscle
PRJNA292382	SAMN03979787	SRS1029566	SRX1140368	SRR2153296	10090	Mus musculus	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/006/SRR2153296/SRR2153296.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/006/SRR2153296/SRR2153296.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR215/006/SRR2153296	ftp.sra.ebi.ac.uk/vol1/srr/SRR215/006/SRR2153296			1100 lard liver
PRJNA292382	SAMN03979788	SRS1029567	SRX1140369	SRR2153297	10090	Mus musculus	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/007/SRR2153297/SRR2153297.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/007/SRR2153297/SRR2153297.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR215/007/SRR2153297	ftp.sra.ebi.ac.uk/vol1/srr/SRR215/007/SRR2153297			1067 fish muscle
PRJNA292382	SAMN03979782	SRS1029565	SRX1140370	SRR2153298	10090	Mus musculus	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/008/SRR2153298/SRR2153298.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/008/SRR2153298/SRR2153298.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR215/008/SRR2153298	ftp.sra.ebi.ac.uk/vol1/srr/SRR215/008/SRR2153298			1067 fish liver
PRJNA292382	SAMN03979783	SRS1029563	SRX1140371	SRR2153299	10090	Mus musculus	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/009/SRR2153299/SRR2153299.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/009/SRR2153299/SRR2153299.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR215/009/SRR2153299	ftp.sra.ebi.ac.uk/vol1/srr/SRR215/009/SRR2153299			1071 control muscle
PRJNA292382	SAMN03979789	SRS1029562	SRX1140372	SRR2153300	10090	Mus musculus	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/000/SRR2153300/SRR2153300.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/000/SRR2153300/SRR2153300.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR215/000/SRR2153300	ftp.sra.ebi.ac.uk/vol1/srr/SRR215/000/SRR2153300			1095 control liver
PRJNA292382	SAMN03979790	SRS1029564	SRX1140373	SRR2153301	10090	Mus musculus	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/001/SRR2153301/SRR2153301.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/001/SRR2153301/SRR2153301.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR215/001/SRR2153301	ftp.sra.ebi.ac.uk/vol1/srr/SRR215/001/SRR2153301			1095 control muscle
PRJNA292382	SAMN03979791	SRS1029561	SRX1140374	SRR2153302	10090	Mus musculus	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/002/SRR2153302/SRR2153302.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/002/SRR2153302/SRR2153302.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR215/002/SRR2153302	ftp.sra.ebi.ac.uk/vol1/srr/SRR215/002/SRR2153302			1123 fish liver
PRJNA292382	SAMN03979792	SRS1029560	SRX1140375	SRR2153303	10090	Mus musculus	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/003/SRR2153303/SRR2153303.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/003/SRR2153303/SRR2153303.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR215/003/SRR2153303	ftp.sra.ebi.ac.uk/vol1/srr/SRR215/003/SRR2153303			1123 fish muscle
PRJNA292382	SAMN03979793	SRS1029559	SRX1140376	SRR2153304	10090	Mus musculus	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/004/SRR2153304/SRR2153304.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/004/SRR2153304/SRR2153304.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR215/004/SRR2153304	ftp.sra.ebi.ac.uk/vol1/srr/SRR215/004/SRR2153304			1102 lard liver
PRJNA292382	SAMN03979794	SRS1029558	SRX1140377	SRR2153305	10090	Mus musculus	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/005/SRR2153305/SRR2153305.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/005/SRR2153305/SRR2153305.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR215/005/SRR2153305	ftp.sra.ebi.ac.uk/vol1/srr/SRR215/005/SRR2153305			1102 lard muscle
PRJNA292382	SAMN03979795	SRS1029556	SRX1140378	SRR2153306	10090	Mus musculus	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/006/SRR2153306/SRR2153306.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/006/SRR2153306/SRR2153306.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR215/006/SRR2153306	ftp.sra.ebi.ac.uk/vol1/srr/SRR215/006/SRR2153306			1073 soy liver
PRJNA292382	SAMN03979796	SRS1029555	SRX1140379	SRR2153307	10090	Mus musculus	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/007/SRR2153307/SRR2153307.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/007/SRR2153307/SRR2153307.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR215/007/SRR2153307	ftp.sra.ebi.ac.uk/vol1/srr/SRR215/007/SRR2153307			1073 soy muscle
PRJNA292382	SAMN03979797	SRS1029557	SRX1140380	SRR2153308	10090	Mus musculus	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/008/SRR2153308/SRR2153308.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/008/SRR2153308/SRR2153308.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR215/008/SRR2153308	ftp.sra.ebi.ac.uk/vol1/srr/SRR215/008/SRR2153308			1120 control liver
PRJNA292382	SAMN03979798	SRS1029553	SRX1140381	SRR2153309	10090	Mus musculus	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/009/SRR2153309/SRR2153309.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR215/009/SRR2153309/SRR2153309.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR215/009/SRR2153309	ftp.sra.ebi.ac.uk/vol1/srr/SRR215/009/SRR2153309			1120 control muscle
