Transcript stable ID version	Gene stable ID	Gene stable ID version
ENSMUST00000082421.1	ENSMUSG00000064370	ENSMUSG00000064370.1
ENSMUST00000082419.1	ENSMUSG00000064368	ENSMUSG00000064368.1
ENSMUST00000082418.1	ENSMUSG00000064367	ENSMUSG00000064367.1
ENSMUST00000082414.1	ENSMUSG00000064363	ENSMUSG00000064363.1
ENSMUST00000084013.1	ENSMUSG00000065947	ENSMUSG00000065947.3
ENSMUST00000082411.1	ENSMUSG00000064360	ENSMUSG00000064360.1
ENSMUST00000082409.1	ENSMUSG00000064358	ENSMUSG00000064358.1
ENSMUST00000082408.1	ENSMUSG00000064357	ENSMUSG00000064357.1
ENSMUST00000082407.1	ENSMUSG00000064356	ENSMUSG00000064356.3
ENSMUST00000082405.1	ENSMUSG00000064354	ENSMUSG00000064354.1
ENSMUST00000082402.1	ENSMUSG00000064351	ENSMUSG00000064351.1
ENSMUST00000082396.1	ENSMUSG00000064345	ENSMUSG00000064345.1
ENSMUST00000082392.1	ENSMUSG00000064341	ENSMUSG00000064341.1
ENSMUST00000104928.1	ENSMUSG00000078129	ENSMUSG00000078129.3
ENSMUST00000179532.1	ENSMUSG00000094391	ENSMUSG00000094391.1
ENSMUST00000177905.1	ENSMUSG00000093828	ENSMUSG00000093828.7
ENSMUST00000107987.9	ENSMUSG00000093828	ENSMUSG00000093828.7
ENSMUST00000111423.2	ENSMUSG00000079222	ENSMUSG00000079222.2
ENSMUST00000178318.1	ENSMUSG00000095763	ENSMUSG00000095763.1
ENSMUST00000073468.4	ENSMUSG00000116179	ENSMUSG00000116179.1
ENSMUST00000179623.1	ENSMUSG00000096850	ENSMUSG00000096850.1
ENSMUST00000178992.1	ENSMUSG00000094958	ENSMUSG00000094958.1
ENSMUST00000115928.2	ENSMUSG00000094799	ENSMUSG00000094799.1
ENSMUST00000099050.3	ENSMUSG00000074564	ENSMUSG00000074564.3
ENSMUST00000109160.2	ENSMUSG00000078912	ENSMUSG00000078912.2
ENSMUST00000078827.2	ENSMUSG00000062783	ENSMUSG00000062783.2
ENSMUST00000178291.1	ENSMUSG00000094741	ENSMUSG00000094741.1
ENSMUST00000108743.1	ENSMUSG00000078840	ENSMUSG00000078840.1
ENSMUST00000177665.1	ENSMUSG00000094030	ENSMUSG00000094030.1
ENSMUST00000092094.1	ENSMUSG00000069475	ENSMUSG00000069475.1
ENSMUST00000179211.1	ENSMUSG00000095250	ENSMUSG00000095250.1
ENSMUST00000179075.1	ENSMUSG00000095585	ENSMUSG00000095585.1
ENSMUST00000178882.1	ENSMUSG00000094293	ENSMUSG00000094293.1
ENSMUST00000177565.1	ENSMUSG00000096237	ENSMUSG00000096237.1
ENSMUST00000169859.1	ENSMUSG00000091731	ENSMUSG00000091731.1
ENSMUST00000112755.2	ENSMUSG00000079374	ENSMUSG00000079374.2
ENSMUST00000178898.1	ENSMUSG00000096240	ENSMUSG00000096240.1
ENSMUST00000177582.1	ENSMUSG00000094474	ENSMUSG00000094474.1
ENSMUST00000163881.1	ENSMUSG00000090853	ENSMUSG00000090853.1
ENSMUST00000115821.2	ENSMUSG00000073682	ENSMUSG00000073682.3
ENSMUST00000177817.1	ENSMUSG00000095280	ENSMUSG00000095280.1
ENSMUST00000171980.1	ENSMUSG00000092047	ENSMUSG00000092047.1
ENSMUST00000168292.1	ENSMUSG00000090625	ENSMUSG00000090625.1
ENSMUST00000177783.1	ENSMUSG00000096776	ENSMUSG00000096776.1
ENSMUST00000063574.6	ENSMUSG00000015126	ENSMUSG00000015126.9
ENSMUST00000085094.3	ENSMUSG00000066378	ENSMUSG00000066378.3
ENSMUST00000181745.1	ENSMUSG00000096930	ENSMUSG00000096930.1
ENSMUST00000089098.1	ENSMUSG00000068068	ENSMUSG00000068068.1
ENSMUST00000171515.1	ENSMUSG00000092157	ENSMUSG00000092157.1
ENSMUST00000038973.6	ENSMUSG00000035521	ENSMUSG00000035521.13
ENSMUST00000115154.10	ENSMUSG00000035521	ENSMUSG00000035521.13
ENSMUST00000180542.1	ENSMUSG00000096968	ENSMUSG00000096968.1
ENSMUST00000115904.3	ENSMUSG00000096506	ENSMUSG00000096506.1
ENSMUST00000167981.2	ENSMUSG00000091347	ENSMUSG00000091347.2
ENSMUST00000179133.1	ENSMUSG00000095470	ENSMUSG00000095470.1
ENSMUST00000098874.3	ENSMUSG00000096463	ENSMUSG00000096463.1
ENSMUST00000180119.1	ENSMUSG00000094728	ENSMUSG00000094728.1
ENSMUST00000050753.3	ENSMUSG00000045506	ENSMUSG00000045506.3
ENSMUST00000167618.1	ENSMUSG00000091096	ENSMUSG00000091096.1
ENSMUST00000107486.1	ENSMUSG00000078677	ENSMUSG00000078677.1
ENSMUST00000099684.3	ENSMUSG00000075015	ENSMUSG00000075015.3
ENSMUST00000096511.4	ENSMUSG00000095316	ENSMUSG00000095316.1
ENSMUST00000099245.1	ENSMUSG00000074720	ENSMUSG00000074720.1
ENSMUST00000100848.2	ENSMUSG00000072693	ENSMUSG00000072693.2
